	iteration	x	y	energy	age	death	children
0	0	1	1	49.0	0	0.0	0
1	0	1	1	49.0	0	0.0	0
2	0	2	4	51.0	0	0.0	0
3	0	3	4	49.0	0	0.0	1
4	0	3	1	49.0	0	0.0	1
5	0	2	4	49.0	0	0.0	0
6	0	3	1	49.0	0	0.0	0
7	0	2	2	51.0	1		0
8	0	2	3	49.0	0	0.0	0
9	0	4	2	49.0	1		0
10	1	1	2	48.0	0	0.0	0
11	1	1	0	48.0	0	0.0	0
12	1	2	4	52.0	0	0.0	0
13	1	3	4	49.0	1		1
14	1	3	4	48.0	1	0.0	2
15	1	3	1	49.0	0	0.0	1
16	1	3	1	48.0	0	0.0	1
17	1	2	4	48.0	0	0.0	0
18	1	3	1	48.0	0	0.0	2
19	1	1	3	48.0	0	0.0	0
20	2	1	3	47.0	0	0.0	0
21	2	1	0	47.0	0	0.0	0
22	2	2	4	53.0	0	0.0	0
23	2	3	4	49.0	1		1
24	2	3	4	49.0	0	0.0	2
25	2	3	1	49.0	0	0.0	0
26	2	3	1	48.0	0	0.0	1
27	2	3	1	47.0	0	0.0	2
28	2	2	4	47.0	0	0.0	0
29	2	3	1	49.0	1		0
30	2	3	1	49.0	0	0.0	1
31	2	3	1	47.0	1	0.0	4
32	2	0	3	47.0	0	0.0	0
33	3	1	4	46.0	0	0.0	0
34	3	1	0	46.0	0	0.0	0
35	3	2	4	54.0	1	0.0	0
36	3	3	4	49.0	0	0.0	1
37	3	3	4	49.0	1		1
38	3	3	4	49.0	0	0.0	0
39	3	3	4	48.0	0	0.0	2
40	3	3	1	48.0	0	0.0	0
41	3	3	1	47.0	0	0.0	1
42	3	3	1	49.0	0	0.0	1
43	3	3	1	46.0	0	0.0	2
44	3	2	4	46.0	0	0.0	0
45	3	3	1	49.0	1		1
46	3	3	1	48.0	1	0.0	1
47	3	3	1	49.0	0	0.0	1
48	3	3	1	49.0	0	0.0	1
49	3	0	3	46.0	0	0.0	0
50	4	1	4	45.0	0	0.0	0
51	4	1	0	45.0	0	0.0	0
52	4	3	4	49.0	1		1
53	4	3	4	48.0	0	0.0	2
54	4	3	3	49.0	1		0
55	4	3	3	48.0	1	0.0	0
56	4	3	3	47.0	0	0.0	2
57	4	3	1	47.0	0	0.0	1
58	4	3	1	46.0	0	0.0	2
59	4	3	1	49.0	1		2
60	4	3	1	48.0	1	0.0	3
61	4	3	1	45.0	1	0.0	3
62	4	2	4	45.0	1	0.0	0
63	4	3	1	49.0	0	0.0	0
64	4	3	1	49.0	0	0.0	1
65	4	3	1	48.0	1	0.0	3
66	4	3	1	49.0	0	0.0	2
67	4	3	1	48.0	0	0.0	2
68	4	0	3	45.0	1	0.0	0
69	5	1	4	44.0	0	0.0	0
70	5	1	0	44.0	0	0.0	0
71	5	3	3	49.0	0	0.0	0
72	5	3	3	49.0	0	0.0	0
73	5	3	3	47.0	1	0.0	2
74	5	3	3	46.0	1	0.0	4
75	5	3	1	49.0	0	0.0	1
76	5	3	1	46.0	0	0.0	2
77	5	3	1	49.0	1		2
78	5	3	1	45.0	1	0.0	2
79	5	3	1	49.0	0	0.0	1
80	5	3	1	49.0	0	0.0	2
81	5	3	1	49.0	0	0.0	0
82	5	3	1	49.0	0	0.0	0
83	5	3	1	49.0	0	0.0	1
84	5	3	1	48.0	0	0.0	1
85	5	3	2	49.0	0	0.0	0
86	5	3	1	48.0	1	0.0	3
87	5	3	1	49.0	0	0.0	1
88	5	2	1	49.0	0	0.0	0
89	5	3	1	49.0	0	0.0	0
90	5	3	1	49.0	0	0.0	1
91	5	3	1	48.0	0	0.0	2
92	5	3	1	49.0	0	0.0	2
93	5	3	1	47.0	0	0.0	3
94	6	1	4	43.0	0	0.0	0
95	6	1	0	43.0	1	0.0	0
96	6	3	3	48.0	1	0.0	0
97	6	3	3	48.0	0	0.0	0
98	6	3	3	49.0	1		1
99	6	3	3	49.0	0	0.0	1
100	6	3	1	49.0	0	0.0	0
101	6	3	1	48.0	0	0.0	3
102	6	3	1	49.0	0	0.0	1
103	6	3	1	45.0	0	0.0	3
104	6	3	1	49.0	0	0.0	2
105	6	3	1	49.0	0	0.0	1
106	6	3	2	49.0	1		0
107	6	3	1	48.0	1	0.0	2
108	6	3	1	49.0	0	0.0	1
109	6	3	1	49.0	0	0.0	1
110	6	3	1	48.0	1	0.0	3
111	6	3	1	48.0	1	0.0	1
112	6	3	2	48.0	0	0.0	0
113	6	3	1	49.0	0	0.0	1
114	6	3	1	48.0	1	0.0	1
115	6	3	1	49.0	0	0.0	0
116	6	3	2	47.0	0	0.0	1
117	6	2	2	48.0	0	0.0	0
118	6	3	2	49.0	0	0.0	0
119	6	3	2	49.0	1		0
120	6	3	1	49.0	1		0
121	6	3	2	48.0	0	0.0	1
122	6	2	2	48.0	0	0.0	0
123	6	3	1	48.0	0	0.0	1
124	6	3	1	49.0	1		1
125	6	3	1	48.0	0	0.0	2
126	6	3	1	47.0	0	0.0	4
127	6	3	1	49.0	0	0.0	1
128	6	3	1	49.0	0	0.0	2
129	6	3	1	48.0	0	0.0	3
130	6	2	1	49.0	1		0
131	6	3	1	46.0	0	0.0	4
132	7	1	4	42.0	1	0.0	0
133	7	3	3	47.0	0	0.0	1
134	7	3	3	49.0	0	0.0	1
135	7	3	3	49.0	1		2
136	7	3	3	48.0	0	0.0	1
137	7	3	1	48.0	1	0.0	2
138	7	3	1	49.0	0	0.0	1
139	7	3	1	49.0	1		2
140	7	3	1	47.0	0	0.0	4
141	7	3	1	49.0	0	0.0	0
142	7	3	1	48.0	0	0.0	2
143	7	3	1	49.0	0	0.0	1
144	7	3	1	44.0	1	0.0	3
145	7	3	1	49.0	0	0.0	1
146	7	3	1	49.0	0	0.0	0
147	7	3	1	48.0	0	0.0	3
148	7	3	1	49.0	1		1
149	7	3	1	48.0	1	0.0	2
150	7	3	1	49.0	1		0
151	7	3	1	49.0	1		0
152	7	3	1	48.0	0	0.0	1
153	7	3	1	49.0	1		2
154	7	3	1	48.0	0	0.0	2
155	7	3	1	49.0	0	0.0	0
156	7	3	1	49.0	1		0
157	7	3	2	47.0	0	0.0	2
158	7	3	2	49.0	1		0
159	7	3	1	48.0	0	0.0	2
160	7	3	2	48.0	1	0.0	0
161	7	3	3	46.0	0	0.0	1
162	7	2	2	47.0	1	0.0	1
163	7	3	2	48.0	1	0.0	2
164	7	3	3	47.0	0	0.0	1
165	7	2	2	47.0	1	0.0	2
166	7	3	1	49.0	0	0.0	1
167	7	3	2	47.0	1	0.0	1
168	7	3	1	49.0	1		2
169	7	3	1	49.0	1		0
170	7	3	1	47.0	0	0.0	3
171	7	3	1	49.0	0	0.0	1
172	7	3	1	49.0	0	0.0	1
173	7	3	1	46.0	0	0.0	5
174	7	3	1	49.0	0	0.0	2
175	7	3	1	48.0	0	0.0	2
176	7	3	1	49.0	0	0.0	0
177	7	3	1	49.0	0	0.0	2
178	7	3	1	48.0	1	0.0	2
179	7	3	1	49.0	1		0
180	7	3	1	47.0	1	0.0	4
181	7	3	1	49.0	0	0.0	0
182	7	3	1	45.0	1	0.0	5
183	8	3	3	49.0	1		1
184	8	3	3	46.0	0	0.0	1
185	8	3	3	49.0	0	0.0	0
186	8	3	3	48.0	0	0.0	3
187	8	3	3	49.0	1		1
188	8	3	3	49.0	0	0.0	0
189	8	3	3	47.0	0	0.0	1
190	8	3	1	49.0	0	0.0	1
191	8	3	1	49.0	1		1
192	8	3	1	49.0	0	0.0	1
193	8	3	1	48.0	1	0.0	3
194	8	3	1	49.0	0	0.0	1
195	8	3	1	49.0	0	0.0	2
196	8	3	1	49.0	1		2
197	8	3	1	46.0	0	0.0	4
198	8	3	1	48.0	0	0.0	1
199	8	3	1	49.0	1		1
200	8	3	1	47.0	0	0.0	4
201	8	3	1	49.0	0	0.0	1
202	8	3	1	48.0	1	0.0	2
203	8	3	1	49.0	0	0.0	0
204	8	3	1	48.0	0	0.0	2
205	8	3	1	48.0	1	0.0	1
206	8	3	1	49.0	1		0
207	8	3	1	47.0	1	0.0	4
208	8	3	1	49.0	1		2
209	8	3	1	49.0	0	0.0	1
210	8	3	1	47.0	0	0.0	1
211	8	3	1	49.0	1		1
212	8	3	1	49.0	0	0.0	2
213	8	3	1	49.0	0	0.0	1
214	8	3	1	47.0	0	0.0	3
215	8	3	1	48.0	0	0.0	0
216	8	3	2	49.0	1		1
217	8	3	2	49.0	1		1
218	8	3	2	46.0	0	0.0	2
219	8	3	1	49.0	1		2
220	8	3	1	47.0	0	0.0	3
221	8	3	4	45.0	0	0.0	1
222	8	2	2	49.0	0	0.0	1
223	8	3	3	49.0	1		0
224	8	3	2	49.0	0	0.0	1
225	8	3	4	46.0	0	0.0	1
226	8	2	2	49.0	0	0.0	1
227	8	2	2	49.0	0	0.0	2
228	8	3	1	49.0	0	0.0	1
229	8	3	1	48.0	1	0.0	3
230	8	3	1	49.0	0	0.0	0
231	8	3	1	49.0	0	0.0	1
232	8	3	1	49.0	0	0.0	1
233	8	3	1	46.0	0	0.0	5
234	8	3	1	49.0	1		1
235	8	3	1	48.0	0	0.0	1
236	8	3	1	49.0	0	0.0	2
237	8	3	1	48.0	0	0.0	3
238	8	3	1	49.0	0	0.0	0
239	8	3	1	45.0	0	0.0	6
240	8	2	1	49.0	0	0.0	0
241	8	3	1	49.0	1		0
242	8	3	1	48.0	0	0.0	3
243	8	3	1	49.0	0	0.0	2
244	8	3	1	47.0	1	0.0	2
245	8	3	1	48.0	0	0.0	1
246	8	3	2	49.0	0	0.0	0
247	8	3	1	49.0	0	0.0	0
248	8	3	1	48.0	0	0.0	3
249	8	3	1	49.0	1		0
250	8	3	1	48.0	0	0.0	1
251	8	3	1	49.0	1		2
252	9	3	2	49.0	0	0.0	0
253	9	3	3	45.0	1	0.0	2
254	9	3	3	48.0	0	0.0	0
255	9	3	3	49.0	0	0.0	1
256	9	3	2	49.0	0	0.0	0
257	9	3	2	47.0	0	0.0	3
258	9	3	3	49.0	0	0.0	2
259	9	3	3	48.0	1	0.0	2
260	9	3	3	46.0	0	0.0	3
261	9	3	1	49.0	0	0.0	2
262	9	3	1	48.0	1	0.0	3
263	9	3	1	49.0	1		1
264	9	3	1	49.0	0	0.0	1
265	9	3	1	48.0	0	0.0	3
266	9	3	1	49.0	1		1
267	9	3	1	49.0	1		2
268	9	3	1	49.0	0	0.0	2
269	9	3	1	48.0	0	0.0	2
270	9	3	1	49.0	1		1
271	9	3	1	49.0	1		1
272	9	3	1	48.0	1	0.0	3
273	9	3	1	49.0	1		1
274	9	3	1	49.0	0	0.0	1
275	9	3	1	45.0	0	0.0	5
276	9	3	1	49.0	1		2
277	9	3	1	47.0	1	0.0	2
278	9	3	2	49.0	1		0
279	9	3	1	49.0	0	0.0	0
280	9	3	1	49.0	1		0
281	9	3	2	46.0	0	0.0	4
282	9	3	1	49.0	0	0.0	2
283	9	3	1	48.0	0	0.0	3
284	9	3	1	49.0	1		1
285	9	3	1	48.0	1	0.0	1
286	9	3	1	49.0	1		1
287	9	3	1	47.0	0	0.0	4
288	9	3	1	49.0	0	0.0	2
289	9	3	1	49.0	0	0.0	0
290	9	3	1	49.0	1		0
291	9	3	1	49.0	0	0.0	0
292	9	3	1	49.0	0	0.0	2
293	9	3	1	48.0	0	0.0	1
294	9	3	1	46.0	0	0.0	2
295	9	3	1	49.0	0	0.0	2
296	9	3	1	49.0	1		2
297	9	3	1	49.0	0	0.0	2
298	9	3	1	48.0	1	0.0	3
299	9	3	1	49.0	0	0.0	2
300	9	3	1	48.0	0	0.0	1
301	9	3	1	49.0	1		1
302	9	3	1	46.0	1	0.0	5
303	9	3	1	47.0	1	0.0	1
304	9	3	2	49.0	0	0.0	1
305	9	3	3	49.0	1		0
306	9	3	3	45.0	1	0.0	2
307	9	3	1	49.0	0	0.0	1
308	9	3	1	49.0	0	0.0	2
309	9	3	1	49.0	1		1
310	9	3	1	46.0	0	0.0	4
311	9	3	4	44.0	0	0.0	1
312	9	2	2	49.0	0	0.0	1
313	9	2	2	48.0	0	0.0	2
314	9	3	2	49.0	0	0.0	1
315	9	3	2	48.0	0	0.0	1
316	9	3	4	45.0	0	0.0	1
317	9	2	2	49.0	1		2
318	9	2	2	48.0	1	0.0	1
319	9	2	2	49.0	1		2
320	9	2	2	49.0	0	0.0	0
321	9	2	2	48.0	0	0.0	2
322	9	3	1	49.0	0	0.0	1
323	9	2	1	48.0	0	0.0	1
324	9	3	1	49.0	0	0.0	2
325	9	3	2	49.0	0	0.0	0
326	9	3	1	48.0	0	0.0	1
327	9	3	1	49.0	0	0.0	1
328	9	3	1	48.0	0	0.0	2
329	9	3	1	49.0	0	0.0	1
330	9	3	1	48.0	0	0.0	1
331	9	3	1	49.0	1		2
332	9	3	1	49.0	0	0.0	1
333	9	3	1	45.0	0	0.0	7
334	9	3	1	49.0	1		1
335	9	3	1	47.0	0	0.0	3
336	9	3	1	49.0	1		1
337	9	3	1	49.0	0	0.0	1
338	9	3	1	48.0	0	0.0	3
339	9	3	1	49.0	1		1
340	9	3	1	49.0	0	0.0	1
341	9	3	1	47.0	0	0.0	4
342	9	3	1	48.0	1	0.0	0
343	9	3	1	49.0	0	0.0	0
344	9	3	1	44.0	1	0.0	7
345	9	2	2	48.0	0	0.0	0
346	9	3	1	49.0	0	0.0	1
347	9	2	1	47.0	0	0.0	3
348	9	3	1	49.0	0	0.0	1
349	9	3	1	49.0	1		1
350	9	3	1	48.0	0	0.0	2
351	9	3	2	49.0	0	0.0	0
352	9	3	1	47.0	1	0.0	2
353	9	3	3	48.0	0	0.0	0
354	9	3	2	48.0	1	0.0	0
355	9	3	2	49.0	0	0.0	0
356	9	3	2	47.0	1	0.0	3
357	9	3	1	49.0	1		1
358	9	3	1	47.0	0	0.0	1
359	9	3	1	49.0	0	0.0	0
360	9	3	1	49.0	0	0.0	1
